="",="(1)",="",=""
="",="",="",=""
="",="0",="1",="Total"
="",="colpct",="colpct",="colpct"
="0",="93.10",="89.19",="91.13"
="1",="6.90",="10.81",="8.87"
="Total",="100.00",="100.00",="100.00"
