="",="(1)",="",=""
="",="",="",=""
="",="0",="1",="Total"
="",="colpct",="colpct",="colpct"
="1",="34.48",="16.22",="25.26"
="2",="10.34",="12.84",="11.60"
="3",="9.66",="8.11",="8.87"
="4",="17.93",="21.62",="19.80"
="5",="9.66",="10.14",="9.90"
="6",="8.28",="27.03",="17.75"
="7",="9.66",="4.05",="6.83"
="Total",="100.00",="100.00",="100.00"
